DAT	Well	OD590	OD595	OD700	sampling	Plate	hour	set	Comp	Conc	Unit	BOT	DIV	Tox	ToxC	CellsL	CellsD	CellsT	pDead
11/10/13 15:46	A01	0,172789	0,171666	0,153314	10/10/13	Div1 1-10	0	set1	Blank	NA	NA	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	A02	0,0606306	0,0593538	0,0523854	10/10/13	Div1 1-10	0	set1	Blank	NA	NA	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	A03	0,109462	0,105884	0,094036	10/10/13	Div1 1-10	0	set1	Cont	NA	NA	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	A04	0,109882	0,108956	0,096953	10/10/13	Div1 1-10	0	set1	Cont	NA	NA	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	A05	0,0568014	0,0559286	0,050042	10/10/13	Div1 1-10	0	set1	Cont	NA	NA	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	A06	0,0574608	0,0568074	0,0488221	10/10/13	Div1 1-10	0	set1	Cont	NA	NA	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	A07	0,129328	0,127886	0,113754	10/10/13	Div1 1-10	0	set1	Cont	NA	NA	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	A08	0,0691018	0,0682633	0,0602249	10/10/13	Div1 1-10	0	set1	Cont	NA	NA	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	A09	0,060514	0,0605381	0,0542369	10/10/13	Div1 1-10	0	set1	Cont	NA	NA	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	A10	0,153118	0,153198	0,133428	10/10/13	Div1 1-10	0	set1	Cont	NA	NA	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	A11	0,0929774	0,0925054	0,08209	10/10/13	Div1 1-10	0	set1	Cont	NA	NA	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	A12	0,128424	0,127359	0,114205	10/10/13	Div1 1-10	0	set1	Cont	NA	NA	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	B01	0,104716	0,103214	0,0963923	10/10/13	Div1 1-10	0	set1	SMX	100	microM	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	B02	0,0763568	0,0743443	0,0667447	10/10/13	Div1 1-10	0	set1	SMX	33,33	microM	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	B03	0,134936	0,133981	0,119533	10/10/13	Div1 1-10	0	set1	SMX	11,11	microM	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	B04	0,111431	0,111134	0,0995904	10/10/13	Div1 1-10	0	set1	SMX	3,7	microM	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	B05	0,0855726	0,0839995	0,0772227	10/10/13	Div1 1-10	0	set1	SMX	1,23	microM	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	B06	0,142752	0,142417	0,127306	10/10/13	Div1 1-10	0	set1	SMX	0,41	microM	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	B07	0,119171	0,117928	0,105632	10/10/13	Div1 1-10	0	set1	SMX	0,14	microM	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	B08	0,0579939	0,0576367	0,0508604	10/10/13	Div1 1-10	0	set1	SMX	0,046	microM	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	B09	0,130341	0,129905	0,115666	10/10/13	Div1 1-10	0	set1	SMX	0,015	microM	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	B10	0,0650618	0,0639663	0,0560688	10/10/13	Div1 1-10	0	set1	SMX	0,005	microM	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	B11	0,0674997	0,0663187	0,0561992	10/10/13	Div1 1-10	0	set1	SMX	0,002	microM	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	B12	0,0696404	0,0690045	0,0612302	10/10/13	Div1 1-10	0	set1	SMX	6,00E-04	microM	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	C01	0,0898637	0,0896796	0,0816221	10/10/13	Div1 1-10	0	set1	Cipro	50	microM	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	C02	0,0595713	0,0590064	0,0517108	10/10/13	Div1 1-10	0	set1	Cipro	23,052	microM	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	C03	0,14081	0,139083	0,125281	10/10/13	Div1 1-10	0	set1	Cipro	10,628	microM	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	C04	0,0956085	0,0947707	0,0852048	10/10/13	Div1 1-10	0	set1	Cipro	4,9	microM	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	C05	0,122539	0,122638	0,110756	10/10/13	Div1 1-10	0	set1	Cipro	2,259	microM	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	C06	0,0931678	0,0923473	0,0824322	10/10/13	Div1 1-10	0	set1	Cipro	1,042	microM	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
11/10/13 15:46	C07	0,0608839	0,0603795	0,0538633	10/10/13	Div1 1-10	0	set1	Cipro	0,48	microM	3	1	2	2,51E-08	4119456,077	236314,33	4355770,407	5,425316487
